PostID,UserID,PostDateTime,PostContent,Hashtags,PostTopic,Likes,Shares,Comments,UserFollowers,UserFollowing,UserLocation,UserAge,UserGender,SentimentScore
43,2687,07/15/2023 03:51 AM,Breaking news: Major policy changes have sparked debates in the parliament. #debate #policy #election,"#debate, #policy, #election",Politics,760,344,30,34930,1143,Timothyton,48,Male,-0.82
44,1013,2023-03-01 13:53:01,Stay informed: New government policies are reshaping public discourse. #debate #policy,"#debate, #policy",Politics,146,0,38,59644,2541,Erikafort,57,Male,-0.93
45,2860,2023-08-05 19:12:50,Incredible performance today—truly a masterclass in sportsmanship. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,480,129,213,4727,3822,Brianhaven,18,Female,-0.2
46,4217,11/16/2023 05:40 AM,Exploring new travel destinations and delicious cuisines—life is an adventure. #travel #health,"#travel, #health",Lifestyle,434,495,125,66104,482,Hallhaven,18,Male,-0.22
47,2961,28-11-2023 11:41,Attended an inspiring tech conference—innovations are on the horizon. #AI,#AI,Technology,518,26,164,66980,586,South Nicholas,78,Male,-0.52
48,2080,2023-11-18 23:26:55,Political update: Today's debate on election integrity was intense. #debate,#debate,Politics,668,1,245,25554,650,Troyfurt,76,,
49,1722,10/17/2023 01:58 PM,Breaking: A startup's new product is creating major buzz in the tech world. #innovation #AI #startup,"#innovation, #AI, #startup",Technology,682,249,108,61906,1716,New Francisco,50,Male,-0.21
50,1779,2023-01-29 02:33:08,Living my best life—enjoying every moment and embracing wellness. #food #travel,"#food, #travel",Lifestyle,68,221,87,71734,2805,West Kennethmouth,73,Female,-0.83
51,2233,"October 25, 2023 09:13:22",Political update: Today's debate on election integrity was intense. #debate,#debate,Politics,605,434,199,32329,368,Phillipsberg,75,,
52,1528,31-01-2023 19:44,Sports update: The championship match had fans on the edge of their seats. #football #olympics,"#football, #olympics",Sports,880,137,270,21441,4991,Jillianmouth,32,Female,-0.19
53,1797,"November 18, 2023 05:01:08",Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,874,274,50,15475,1912,Garnermouth,76,Female,-0.81
54,1343,15-09-2023 20:02,Stay informed: New government policies are reshaping public discourse. #election,#election,Politics,887,489,197,95742,3782,Arielton,49,Male,0.68
55,4786,05/07/2023 08:10 PM,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #health #food,"#travel, #health, #food",Lifestyle,185,463,22,52597,1577,Tinahaven,48,Female,0.35
56,4682,29-09-2023 01:02,Stay informed: New government policies are reshaping public discourse. #debate #election,"#debate, #election",Politics,903,140,152,49840,120,Aliciabury,22,Male,-0.23
57,2302,27-06-2023 14:47,Incredible performance today—truly a masterclass in sportsmanship. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,681,431,222,91541,493,Kathleenhaven,46,Female,-0.7
58,1208,08/22/2023 05:24 PM,Breaking news: Major policy changes have sparked debates in the parliament. #debate #election #policy,"#debate, #election, #policy",Politics,203,255,220,65727,4744,South Corey,57,Male,-0.61
59,1640,22-08-2023 08:47,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #music,"#celebrity, #music",Entertainment,553,369,150,62615,436,East Stacyhaven,75,Male,-0.76
60,4406,2023-02-09 04:22:37,Tech update: A breakthrough in AI is set to transform the industry. #AI #startup #innovation,"#AI, #startup, #innovation",Technology,12,311,265,1984,1919,Meyerfort,25,Female,-0.68
61,2311,07/04/2023 10:01 AM,Political update: Today's debate on election integrity was intense. #debate #policy #election,"#debate, #policy, #election",Politics,665,455,72,79068,4698,Port Michelestad,37,Female,-0.15
62,3299,05/10/2023 10:42 AM,Sports update: The championship match had fans on the edge of their seats. #olympics #football,"#olympics, #football",Sports,273,439,76,85141,2061,Tracyville,56,Male,-0.51
63,4336,01/17/2023 11:08 PM,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,297,433,31,79838,2971,Lake Sonya,36,Male,0.77
64,3318,"July 14, 2023 23:16:04",Entertainment buzz: A star-studded event lit up the night. #movies,#movies,Entertainment,50,94,64,75867,3401,Hallmouth,59,Female,0.92
65,2947,"August 04, 2023 07:28:01",Living my best life—enjoying every moment and embracing wellness. #food #travel,"#food, #travel",Lifestyle,499,172,17,40820,329,Aaronchester,62,Female,0.38
66,1919,14-08-2023 23:01,Celebrity update: The latest music release is topping the charts. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,368,472,163,9695,820,Port Robert,48,Male,0.62
67,2723,11/27/2023 02:19 PM,Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,723,442,286,85723,1003,West Lorifurt,45,Male,-0.49
68,3044,12-05-2023 20:32,Exploring new travel destinations and delicious cuisines—life is an adventure. #food #travel #health,"#food, #travel, #health",Lifestyle,655,422,53,70118,4474,North Donnaberg,15,Male,0.33
69,1418,2023-06-27 18:21:47,Living my best life—enjoying every moment and embracing wellness. #travel #food #health,"#travel, #food, #health",Lifestyle,356,404,62,34849,1609,Wandamouth,43,Male,-0.88
70,2749,08/30/2023 03:08 AM,What a game! That last-minute goal was simply unforgettable. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,2,438,256,14018,2547,Bobbybury,72,Female,0.92
71,3842,2023-01-31 21:39:55,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,253,56,238,30084,3496,East Nicole,41,Male,0.34
72,4282,29-05-2023 14:30,Incredible performance today—truly a masterclass in sportsmanship. #olympics,#olympics,Sports,474,497,8,15913,3417,North Robin,56,Female,-0.37
73,2388,"September 10, 2023 00:38:31",Celebrity update: The latest music release is topping the charts. #music #celebrity #movies,"#music, #celebrity, #movies",Entertainment,846,101,119,4566,3597,Jonesshire,57,Other,0.55
74,2099,06-06-2023 00:24,Incredible performance today—truly a masterclass in sportsmanship. #football #basketball #olympics,"#football, #basketball, #olympics",Sports,505,168,89,35099,2490,West Tylershire,54,Female,-0.97
75,4731,2023-03-16 01:13:06,Living my best life—enjoying every moment and embracing wellness. #travel #health,"#travel, #health",Lifestyle,255,476,174,58215,158,North Jacqueline,33,Female,-0.25
76,4392,06/02/2023 03:07 PM,Living my best life—enjoying every moment and embracing wellness. #health #travel #food,"#health, #travel, #food",Lifestyle,609,69,2,87801,4504,North Tammyfurt,44,Female,0.79
77,3772,22-01-2023 15:42,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #food,"#travel, #food",Lifestyle,684,337,129,41264,1005,Jenniferfurt,40,,
78,3480,02/18/2023 02:14 AM,Breaking news: Major policy changes have sparked debates in the parliament. #debate #election,"#debate, #election",Politics,149,48,53,78877,3410,Lake Moniquebury,59,Male,0.34
79,3156,"May 07, 2023 16:34:57",Lifestyle tips: Small changes can make a big difference in your daily routine. #health #food #travel,"#health, #food, #travel",Lifestyle,487,427,292,78748,3539,North Jonathanchester,59,Male,-0.28
80,3688,"November 08, 2023 19:07:19",Breaking news: Major policy changes have sparked debates in the parliament. #debate,#debate,Politics,278,418,183,90433,367,South Michaelville,29,Female,-0.22
81,2545,"September 24, 2023 12:24:35",Incredible performance today—truly a masterclass in sportsmanship. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,58,346,223,75019,390,Lake Ray,41,,
82,2070,12/16/2023 03:26 AM,Political update: Today's debate on election integrity was intense. #policy,#policy,Politics,445,4,11,19799,4494,Nathanton,60,Male,0.82
83,3426,13-06-2023 02:14,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity,#celebrity,Entertainment,112,454,194,11581,2124,Lake Brendaview,14,Male,-0.67
84,2850,08/09/2023 08:43 PM,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #health,"#travel, #health",Lifestyle,835,201,246,70811,687,North Michael,45,Other,-0.45
85,2119,08/28/2023 10:30 AM,Breaking: A startup's new product is creating major buzz in the tech world. #innovation #AI #startup,"#innovation, #AI, #startup",Technology,754,201,153,83618,4546,Yoderhaven,75,Male,-0.02
86,1957,16-09-2023 12:13,Sports update: The championship match had fans on the edge of their seats. #olympics #football #basketball,"#olympics, #football, #basketball",Sports,821,178,77,31434,4513,New Douglasfurt,51,Male,0.23
87,1102,"September 14, 2023 20:25:25",Stay informed: New government policies are reshaping public discourse. #debate #policy,"#debate, #policy",Politics,568,56,139,59352,2440,Karenborough,17,Male,-0.06
88,3939,"January 04, 2023 03:30:36",Breaking: A startup's new product is creating major buzz in the tech world. #AI #startup,"#AI, #startup",Technology,488,185,89,83562,4038,Lisastad,64,Female,0.61
89,3901,11-02-2023 11:45,Entertainment buzz: A star-studded event lit up the night. #celebrity,#celebrity,Entertainment,406,91,143,8433,3243,Princeport,64,,
90,2169,11/12/2023 12:35 PM,Exploring new travel destinations and delicious cuisines—life is an adventure. #health,#health,Lifestyle,366,291,71,80096,3986,Lake Ann,41,Male,-0.19
91,2903,03/26/2023 06:36 AM,Stay informed: New government policies are reshaping public discourse. #debate #policy #election,"#debate, #policy, #election",Politics,59,393,176,65725,4331,Jacksonfort,49,Female,-0.92
92,4999,"August 09, 2023 19:04:11",Sports update: The championship match had fans on the edge of their seats. #olympics,#olympics,Sports,328,433,262,94197,2416,Lake Karen,20,Male,-0.61
93,4098,2023-04-10 08:49:37,Lifestyle tips: Small changes can make a big difference in your daily routine. #health,#health,Lifestyle,727,482,270,20890,3052,Lisaborough,32,,
94,2755,2023-08-13 22:48:41,Sports update: The championship match had fans on the edge of their seats. #football #basketball,"#football, #basketball",Sports,468,226,104,5590,4739,Port Timfort,53,Male,0.86
95,3577,2023-07-28 21:35:57,Sports update: The championship match had fans on the edge of their seats. #basketball #football,"#basketball, #football",Sports,744,420,71,48155,1615,Port Anthonyfurt,48,Male,0.14
96,1678,08/26/2023 07:22 PM,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,566,111,73,77340,842,East Justinmouth,44,Other,0.06
97,2968,07/26/2023 07:06 AM,Lifestyle tips: Small changes can make a big difference in your daily routine. #food #travel #health,"#food, #travel, #health",Lifestyle,884,147,142,98263,3754,Brownbury,17,,
98,1988,"February 05, 2023 06:27:42",Sports update: The championship match had fans on the edge of their seats. #football,#football,Sports,719,268,61,17693,2450,Davidburgh,32,Female,-0.7
99,2105,2023-11-06 14:37:02,Sports update: The championship match had fans on the edge of their seats. #basketball #football,"#basketball, #football",Sports,62,202,145,37846,404,West Christy,34,Other,-0.71
100,3475,"May 08, 2023 00:13:59",Celebrity update: The latest music release is topping the charts. #celebrity #movies,"#celebrity, #movies",Entertainment,183,377,45,36092,4251,New Amanda,43,Male,-0.31
101,2607,"January 07, 2023 12:51:25",Entertainment buzz: A star-studded event lit up the night. #movies #celebrity,"#movies, #celebrity",Entertainment,310,364,228,37724,3945,Port Philip,53,Male,0.99
102,3869,"February 03, 2023 07:46:30",Entertainment buzz: A star-studded event lit up the night. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,792,402,104,89813,4563,East Rosefurt,17,,
103,2502,16-09-2023 22:53,Exploring new travel destinations and delicious cuisines—life is an adventure. #health,#health,Lifestyle,537,347,108,22723,4067,East Mark,22,Male,0.36
104,2789,2023-11-03 10:52:40,Tech update: A breakthrough in AI is set to transform the industry. #innovation #AI,"#innovation, #AI",Technology,176,357,120,91571,4787,Wilsonbury,49,,
105,2185,2023-01-12 15:48:13,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #health #food,"#travel, #health, #food",Lifestyle,574,55,42,248,2302,Anthonyview,68,Male,0.11
106,4910,07-09-2023 10:29,What a game! That last-minute goal was simply unforgettable. #olympics #football #basketball,"#olympics, #football, #basketball",Sports,428,300,98,15363,614,West Joycefort,36,Other,-0.39
107,1931,08-02-2023 23:10,Attended an inspiring tech conference—innovations are on the horizon. #innovation #startup,"#innovation, #startup",Technology,72,315,193,24549,3503,Ingramchester,28,,
108,2425,2023-10-19 12:57:51,Incredible performance today—truly a masterclass in sportsmanship. #football #basketball #olympics,"#football, #basketball, #olympics",Sports,846,451,213,89719,1352,New Brianmouth,14,,
109,4579,13-09-2023 03:26,Entertainment buzz: A star-studded event lit up the night. #music,#music,Entertainment,166,184,228,97238,1800,Lewisshire,27,,
110,2061,"October 12, 2023 13:02:09",Entertainment buzz: A star-studded event lit up the night. #music #celebrity,"#music, #celebrity",Entertainment,224,53,184,50677,2640,Lake Allisonton,53,Male,-0.57
111,2978,02/01/2023 07:10 AM,Exploring new travel destinations and delicious cuisines—life is an adventure. #food,#food,Lifestyle,576,36,111,42414,307,Ewinghaven,75,Male,0.22
112,3558,"January 31, 2023 10:45:08",What a game! That last-minute goal was simply unforgettable. #football #basketball,"#football, #basketball",Sports,580,210,271,13638,1645,North David,61,Female,0.39
113,3440,2023-02-10 10:44:39,Entertainment buzz: A star-studded event lit up the night. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,951,292,101,92617,1096,Kathrynhaven,38,Male,-0.81
114,3042,16-09-2023 00:53,Just watched an amazing movie—highly recommend it to all film lovers. #music #movies #celebrity,"#music, #movies, #celebrity",Entertainment,8,269,209,51887,2282,North Christopherchester,78,Female,0.62
115,3760,08/03/2023 03:20 PM,Sports update: The championship match had fans on the edge of their seats. #basketball,#basketball,Sports,235,350,226,67999,2644,New Michaelaside,41,Female,0.65
116,3541,2023-09-30 00:03:07,Entertainment buzz: A star-studded event lit up the night. #music #movies,"#music, #movies",Entertainment,709,219,280,65346,4127,West Maurice,72,Female,0.45
117,4271,30-06-2023 15:02,Entertainment buzz: A star-studded event lit up the night. #celebrity,#celebrity,Entertainment,923,227,21,27608,3634,Mathistown,77,Female,0.37
118,2278,05/08/2023 08:12 AM,Just watched an amazing movie—highly recommend it to all film lovers. #movies #music,"#movies, #music",Entertainment,684,427,247,68743,1690,Katherinestad,52,Female,-0.54
119,2202,01/15/2023 08:59 PM,Exploring new travel destinations and delicious cuisines—life is an adventure. #food,#food,Lifestyle,793,357,158,5728,1761,Bensonfurt,23,Male,0.84
120,3594,25-12-2023 11:03,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #music,"#celebrity, #music",Entertainment,27,210,228,67087,98,North Jessica,64,,
121,1593,09/22/2023 01:22 PM,Lifestyle tips: Small changes can make a big difference in your daily routine. #food #health #travel,"#food, #health, #travel",Lifestyle,807,297,186,41509,217,Drakeberg,76,Female,-0.63
122,3436,2023-03-01 20:57:16,Breaking: A startup's new product is creating major buzz in the tech world. #innovation #AI #startup,"#innovation, #AI, #startup",Technology,910,0,142,15280,1903,East Kimberly,15,Female,0.28
123,2421,30-07-2023 16:18,Incredible performance today—truly a masterclass in sportsmanship. #basketball #olympics,"#basketball, #olympics",Sports,645,22,23,12477,3904,Wallsport,23,Male,-0.27
124,4803,"January 01, 2023 13:36:24",Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #food #health,"#travel, #food, #health",Lifestyle,26,447,140,43648,3791,Christopherton,40,Female,0.87
125,3205,2023-05-05 20:51:18,Just watched an amazing movie—highly recommend it to all film lovers. #music #celebrity,"#music, #celebrity",Entertainment,549,283,239,55103,2118,South Danielview,74,Female,-0.08
126,2027,2023-03-17 21:09:28,What a game! That last-minute goal was simply unforgettable. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,195,495,291,52200,441,South Mark,60,Male,-0.67
127,3214,26-11-2023 01:41,Attended an inspiring tech conference—innovations are on the horizon. #innovation #AI #startup,"#innovation, #AI, #startup",Technology,202,387,81,20419,3000,Tonyberg,40,Female,0.92
128,4539,31-07-2023 14:13,Celebrity update: The latest music release is topping the charts. #celebrity #music,"#celebrity, #music",Entertainment,84,424,47,30785,1499,Cassandrastad,58,Male,0.03
129,1959,06/19/2023 04:09 AM,Just watched an amazing movie—highly recommend it to all film lovers. #music #movies,"#music, #movies",Entertainment,831,187,170,23314,278,Lake Justinland,76,Male,0.04
130,3456,2023-08-09 00:02:15,Tech update: A breakthrough in AI is set to transform the industry. #AI #startup #innovation,"#AI, #startup, #innovation",Technology,29,17,261,52961,3302,Marthachester,67,Female,-0.23
131,4483,10/02/2023 12:08 PM,Attended an inspiring tech conference—innovations are on the horizon. #AI #startup,"#AI, #startup",Technology,465,446,67,96749,401,West Michelle,14,Other,0.67
132,4275,2023-11-08 13:12:30,What a game! That last-minute goal was simply unforgettable. #basketball #football,"#basketball, #football",Sports,98,444,13,83309,2322,Jacksonville,28,,
133,3241,2023-05-28 05:07:22,Incredible performance today—truly a masterclass in sportsmanship. #basketball,#basketball,Sports,898,48,29,49755,4087,Port Sabrina,23,Other,-0.97
134,3282,"June 25, 2023 11:20:18",Attended an inspiring tech conference—innovations are on the horizon. #startup,#startup,Technology,189,46,109,97513,283,New Keithstad,15,Female,-0.01
135,3765,2023-07-05 12:51:28,Entertainment buzz: A star-studded event lit up the night. #celebrity,#celebrity,Entertainment,11,114,211,57203,315,New Lisamouth,67,Female,0.85
136,2173,01/21/2023 02:31 AM,Stay informed: New government policies are reshaping public discourse. #debate #election #policy,"#debate, #election, #policy",Politics,602,38,263,84167,907,New Kelly,54,,
137,4230,05/02/2023 12:35 PM,Political update: Today's debate on election integrity was intense. #policy,#policy,Politics,29,216,201,9757,548,Port Sydney,41,Male,-0.47
138,4350,"February 25, 2023 07:54:10",Sports update: The championship match had fans on the edge of their seats. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,724,209,83,4620,926,Schultzton,43,Male,0.48
139,1815,10/08/2023 03:09 PM,Incredible performance today—truly a masterclass in sportsmanship. #football,#football,Sports,37,261,52,36584,2308,Orozcoberg,37,Male,0.55
140,1403,07-08-2023 14:23,Lifestyle tips: Small changes can make a big difference in your daily routine. #health #travel #food,"#health, #travel, #food",Lifestyle,852,210,255,29677,4244,Deleonchester,18,Female,-0.13
141,1892,"July 05, 2023 12:37:24",Sports update: The championship match had fans on the edge of their seats. #football #olympics,"#football, #olympics",Sports,571,52,73,47699,1694,Mariaton,72,Female,0.67
142,3725,08/09/2023 12:16 AM,Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,293,459,219,30658,2442,Andersontown,79,Female,-0.66
143,4382,12/10/2023 03:52 AM,Stay informed: New government policies are reshaping public discourse. #debate #election,"#debate, #election",Politics,359,280,142,95305,3374,Parkerview,34,Male,-0.27
144,1067,12-05-2023 05:04,Celebrity update: The latest music release is topping the charts. #movies #celebrity,"#movies, #celebrity",Entertainment,654,354,99,93474,3001,Coxville,53,Male,-0.19
145,4534,"November 19, 2023 19:42:32",Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #movies,"#celebrity, #movies",Entertainment,913,320,128,1310,4669,North Dawn,65,,
146,1087,14-02-2023 14:22,Breaking: A startup's new product is creating major buzz in the tech world. #innovation #AI,"#innovation, #AI",Technology,179,132,218,63907,2697,Port Zachary,72,Male,-0.56
147,3264,"July 05, 2023 08:10:46",Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,796,448,270,73694,2306,Lake Marystad,51,Other,-0.32
148,3048,"November 09, 2023 14:33:44",Tech update: A breakthrough in AI is set to transform the industry. #startup,#startup,Technology,111,263,21,53072,1482,Williamshire,67,Female,-0.96
149,2158,2023-10-31 18:15:35,Exploring new travel destinations and delicious cuisines—life is an adventure. #health,#health,Lifestyle,741,294,177,43404,530,North Cody,42,Male,0.41
150,2720,07/25/2023 05:02 PM,Lifestyle tips: Small changes can make a big difference in your daily routine. #food,#food,Lifestyle,443,110,47,98335,3020,Chapmanburgh,14,Female,0.37
151,2374,05/18/2023 08:20 PM,Sports update: The championship match had fans on the edge of their seats. #olympics #football,"#olympics, #football",Sports,20,42,116,77099,1715,Lake Jessica,20,Female,-0.1
152,3187,2023-03-24 12:35:44,Sports update: The championship match had fans on the edge of their seats. #football #olympics,"#football, #olympics",Sports,144,337,178,2943,378,Hallport,75,Female,-0.35
153,3665,22-02-2023 14:39,Incredible performance today—truly a masterclass in sportsmanship. #basketball #olympics #football,"#basketball, #olympics, #football",Sports,498,237,272,79971,3304,South Ryan,71,Other,-0.13
154,3180,2023-06-30 11:39:34,Tech update: A breakthrough in AI is set to transform the industry. #AI,#AI,Technology,145,378,178,19934,466,North Brenda,40,Female,0.87
155,2643,11/09/2023 10:00 PM,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #health,"#travel, #health",Lifestyle,440,456,48,93363,2351,West Julia,50,Female,0.21
